,Feature,R-squared,Non-Null Values,Note
799,Resistance (ohms) of extracellular fluid (ECF) from Cole modeling,,12971,Too few unique ages
800,Resistance (ohms) of intracellular fluid (ICF) from Cole modeling,,12971,Too few unique ages
801,Estimated total water body volume (L),,12746,Too few unique ages
802,Time delay (ns) from Cole modeling,,12971,Too few unique ages
803,Reactance (Ohms) @ 5 KHz,,13276,Too few unique ages
804,Reactance (Ohms) @ 6 KHz,,13276,Too few unique ages
805,Reactance (Ohms) @ 7 KHz,,13276,Too few unique ages
806,Reactance (Ohms) @ 8 KHz,,13276,Too few unique ages
807,Reactance (Ohms) @ 9 KHz,,13276,Too few unique ages
808,Reactance (Ohms) @ 10 KHz,,13276,Too few unique ages
809,Reactance (Ohms) @ 11 KHz,,13276,Too few unique ages
810,Reactance (Ohms) @ 12 KHz,,13276,Too few unique ages
811,Reactance (Ohms) @ 13 KHz,,13276,Too few unique ages
812,Reactance (Ohms) @ 14 KHz,,13276,Too few unique ages
813,Reactance (Ohms) @ 15 KHz,,13276,Too few unique ages
814,Reactance (Ohms) @ 16 KHz,,13276,Too few unique ages
815,Reactance (Ohms) @ 18 KHz,,13276,Too few unique ages
816,Reactance (Ohms) @ 20 KHz,,13276,Too few unique ages
817,Reactance (Ohms) @ 23 KHz,,13276,Too few unique ages
818,Reactance (Ohms) @ 25 KHz,,13276,Too few unique ages
819,Reactance (Ohms) @ 28 KHz,,13276,Too few unique ages
820,Reactance (Ohms) @ 31 KHz,,13276,Too few unique ages
821,Reactance (Ohms) @ 35 KHz,,13276,Too few unique ages
822,Reactance (Ohms) @ 39 KHz,,13276,Too few unique ages
823,Reactance (Ohms) @ 43 KHz,,13276,Too few unique ages
824,Reactance (Ohms) @ 50 KHz,,13276,Too few unique ages
825,Reactance (Ohms) @ 54 KHz,,13276,Too few unique ages
826,Reactance (Ohms) @ 60 KHz,,13276,Too few unique ages
827,Reactance (Ohms) @ 67 KHz,,13276,Too few unique ages
828,Reactance (Ohms) @ 75 KHz,,13276,Too few unique ages
829,Reactance (Ohms) @ 83 KHz,,13276,Too few unique ages
830,Reactance (Ohms) @ 93 KHz,,13276,Too few unique ages
831,Reactance (Ohms) @ 100 KHz,,13276,Too few unique ages
832,Reactance (Ohms) @ 115 KHz,,13276,Too few unique ages
833,Reactance (Ohms) @ 128 KHz,,13276,Too few unique ages
834,Reactance (Ohms) @ 143 KHz,,13276,Too few unique ages
835,Reactance (Ohms) @ 159 KHz,,13276,Too few unique ages
836,Reactance (Ohms) @ 177 KHz,,13276,Too few unique ages
837,Reactance (Ohms) @ 1 MHz,,13276,Too few unique ages
838,Reactance (Ohms) @ 200 KHz,,13276,Too few unique ages
839,Reactance (Ohms) @ 220 KHz,,13276,Too few unique ages
840,Reactance (Ohms) @ 245 KHz,,13276,Too few unique ages
841,Reactance (Ohms) @ 273 KHz,,13276,Too few unique ages
842,Reactance (Ohms) @ 304 KHz,,13276,Too few unique ages
843,Reactance (Ohms) @ 339 KHz,,13276,Too few unique ages
844,Reactance (Ohms) @ 378 KHz,,13276,Too few unique ages
845,Reactance (Ohms) @ 421 KHz,,13276,Too few unique ages
846,Reactance (Ohms) @ 469 KHz,,13276,Too few unique ages
847,Reactance (Ohms) @ 500 KHz,,13276,Too few unique ages
848,Reactance (Ohms) @ 582 KHz,,13276,Too few unique ages
849,Reactance (Ohms) @ 649 KHz,,13276,Too few unique ages
850,Reactance (Ohms) @ 723 KHz,,13276,Too few unique ages
851,Reactance (Ohms) @ 806 KHz,,13276,Too few unique ages
852,Reactance (Ohms) @ 898 KHz,,13276,Too few unique ages
853,Resistance (Ohms) @ 5 KHz,,13276,Too few unique ages
854,Resistance (Ohms) @ 6 KHz,,13276,Too few unique ages
855,Resistance (Ohms) @ 7 KHz,,13276,Too few unique ages
856,Resistance (Ohms) @ 8 KHz,,13276,Too few unique ages
857,Resistance (Ohms) @ 9 KHz,,13276,Too few unique ages
858,Resistance (Ohms) @ 10 KHz,,13276,Too few unique ages
859,Resistance (Ohms) @ 11 KHz,,13276,Too few unique ages
860,Resistance (Ohms) @ 12 KHz,,13276,Too few unique ages
861,Resistance (Ohms) @ 13 KHz,,13276,Too few unique ages
862,Resistance (Ohms) @ 14 KHz,,13276,Too few unique ages
863,Resistance (Ohms) @ 15 KHz,,13276,Too few unique ages
864,Resistance (Ohms) @ 16 KHz,,13276,Too few unique ages
865,Resistance (Ohms) @ 18 KHz,,13276,Too few unique ages
866,Resistance (Ohms) @ 20 KHz,,13276,Too few unique ages
867,Resistance (Ohms) @ 23 KHz,,13276,Too few unique ages
868,Resistance (Ohms) @ 25 KHz,,13276,Too few unique ages
869,Resistance (Ohms) @ 28 KHz,,13276,Too few unique ages
870,Resistance (Ohms) @ 31 KHz,,13276,Too few unique ages
871,Resistance (Ohms) @ 35 KHz,,13276,Too few unique ages
872,Resistance (Ohms) @ 39 KHz,,13276,Too few unique ages
873,Resistance (Ohms) @ 43 KHz,,13276,Too few unique ages
874,Resistance (Ohms) @ 50 KHz,,13276,Too few unique ages
875,Resistance (Ohms) @ 54 KHz,,13276,Too few unique ages
876,Resistance (Ohms) @ 60 KHz,,13276,Too few unique ages
877,Resistance (Ohms) @ 67 KHz,,13276,Too few unique ages
878,Resistance (Ohms) @ 75 KHz,,13276,Too few unique ages
879,Resistance (Ohms) @ 83 KHz,,13276,Too few unique ages
880,Resistance (Ohms) @ 93 KHz,,13276,Too few unique ages
881,Resistance (Ohms) @ 100 KHz,,13276,Too few unique ages
882,Resistance (Ohms) @ 115 KHz,,13276,Too few unique ages
883,Resistance (Ohms) @ 128 KHz,,13276,Too few unique ages
884,Resistance (Ohms) @ 143 KHz,,13276,Too few unique ages
885,Resistance (Ohms) @ 159 KHz,,13276,Too few unique ages
886,Resistance (Ohms) @ 177 KHz,,13276,Too few unique ages
887,Resistance (Ohms) @ 1 MHz,,13276,Too few unique ages
888,Resistance (Ohms) @ 200 KHz,,13276,Too few unique ages
889,Resistance (Ohms) @ 220 KHz,,13276,Too few unique ages
890,Resistance (Ohms) @ 245 KHz,,13276,Too few unique ages
891,Resistance (Ohms) @ 273 KHz,,13276,Too few unique ages
892,Resistance (Ohms) @ 304 KHz,,13276,Too few unique ages
893,Resistance (Ohms) @ 339 KHz,,13276,Too few unique ages
894,Resistance (Ohms) @ 378 KHz,,13276,Too few unique ages
895,Resistance (Ohms) @ 421 KHz,,13276,Too few unique ages
896,Resistance (Ohms) @ 469 KHz,,13276,Too few unique ages
897,Resistance (Ohms) @ 500 KHz,,13276,Too few unique ages
898,Resistance (Ohms) @ 582 KHz,,13276,Too few unique ages
899,Resistance (Ohms) @ 649 KHz,,13276,Too few unique ages
900,Resistance (Ohms) @ 723 KHz,,13276,Too few unique ages
901,Resistance (Ohms) @ 806 KHz,,13276,Too few unique ages
902,Resistance (Ohms) @ 898 KHz,,13276,Too few unique ages
903,Patient had pacemaker--cannot obtain BIA,,1428,Not enough data
904,Patient Pregnant--cannot obtain BIA,,1430,Not enough data
905,60 sec HR (30 sec HR * 2),,15183,Too few unique ages
906,# of dropped beats in 30 seconds,,223,Too few unique ages
907,"K4, diastolic, for 1st BP(mmHg)(age5-19)",,5418,Too few unique ages
908,"K4,diastolic, for 2nd BP, age 5-19 (mmHg)",,5787,Too few unique ages
909,"K4, diastolic, for 3rd BP(mmHg)(age5-19)",,5720,Too few unique ages
910,Diastolic: Blood pressure (fourth reading if necessary) mm Hg,,8466,Not enough data
911,Systolic: Blood pressure (fourth reading if necessary) mm Hg,,8466,Not enough data
912,Measurements used for average K5 (age5+),,1783,Not enough data
913,Amputations?,,8716,Not enough data
914,Comment code for an exam,,133,Not enough data
915,Exam length in seconds,,8832,Not enough data
916,Status of a MEC exam,,8832,Not enough data
917,Amputations: Lower Left Extremity?,,3,Too few unique ages
918,Amputations: Lower Left. Above or Below Knee?,,1,Too few unique ages
919,Amputations: Lower Right Extremity?,,3,Too few unique ages
920,Amputations: Lower Right. Above or Below Knee?,,3,Too few unique ages
921,Amputations: Upper Left Extremity?,,3,Too few unique ages
922,Amputations: Upper Left. Above or Below Elbow?,,0,Too few unique ages
923,Amputations: Upper Right. Above or Below Elbow?,,0,Too few unique ages
924,Amputations: Upper Right Extremity?,,3,Too few unique ages
925,Unusual value noted during data review of BMXARML,,4,Too few unique ages
926,BMI Category - Children/Youth,,10218,Too few unique ages
927,Unusual value noted during data review of BMXCALF,,3,Too few unique ages
928,Unusual value noted during data review of BMXLEG,,14,Too few unique ages
929,The difference between BMXRECUM and BMXHT for children 24-47 months is > 2.5cm.,,27,Too few unique ages
930,Sagittal Abdominal Diameter Comment,,1415,Not enough data
931,Unusual value noted during data review of BMXSUB,,1,Too few unique ages
932,Unusual value noted during data review of BMXTHICM,,3,Too few unique ages
933,Arm Circumference Comment,,3259,Not enough data
934,Upper Arm Length Comment,,3224,Not enough data
935,Maximal Calf Comment,,872,Not enough data
936,Head Circumference Comment,,0,Too few unique ages
937,Hip Circumference Comment,,270,Not enough data
938,Standing Height Comment,,2140,Not enough data
939,Upper Leg Length Comment,,3271,Not enough data
940,Recumbent Length Comment,,323,Too few unique ages
941,Subscapular Skinfold Comment,,8521,Not enough data
942,Thigh Circumference Comment,,1258,Not enough data
943,Triceps Skinfold Comment,,4434,Not enough data
944,Waist Circumference Comment,,4012,Not enough data
945,Weight Comment,,3725,Not enough data
946,Knee height (cm) (60 years and over),,4942,Too few unique ages
947,Self reported weight (lbs) (12-16 years),,1677,Too few unique ages
948,Head Circumference (cm),,6626,Too few unique ages
949,Hip Circumference (cm),,6039,Not enough data
950,Recumbent Length (cm),,10753,Too few unique ages
951,Sagittal Abdominal Diameter 3rd (cm),,1109,Not enough data
952,Sagittal Abdominal Diameter 4th (cm),,1109,Not enough data
953,Self-reported height (inches),,26414,Too few unique ages
954,Arm selected for blood pressure monitoring,,9871,Too few unique ages
955,Cuff size used for blood pressure monitoring,,9871,Too few unique ages
956,Assigned exercise protocol,,9887,Too few unique ages
957,Room temperature (Degrees Fahrenheit),,9869,Too few unique ages
958,Mesh vest used,,4890,Too few unique ages
959,Warm-up grade (% incline),,9786,Too few unique ages
960,Warm-up speed (miles per hour),,9786,Too few unique ages
961,Estimated maximal oxygen uptake (ml/kg/min).,,8324,Too few unique ages
962,Excluded from exam due to selected physical functioning limitations,,2626,Too few unique ages
963,Excluded from exam due to selected cardiovascular conditions/symptoms,,2626,Too few unique ages
964,Excluded from exam due to selected lung/breathing conditions/symptoms,,2626,Too few unique ages
965,Excluded from exam due to selected asthma symptoms,,2626,Too few unique ages
966,Excluded from exam due to taking selected exclusionary medications,,2626,Too few unique ages
967,Excluded from exam due to other specific reasons,,2626,Too few unique ages
968,Comment code for CV fitness exam status,,14417,Too few unique ages
969,Length of the CV fitness exam (minutes),,14417,Too few unique ages
970,Examiner ID code,,14417,Too few unique ages
971,CV fitness exam status,,14417,Too few unique ages
972,Cardiovascular fitness level,,8324,Too few unique ages
973,Predicted maximal heart rate (per minute),,14417,Too few unique ages
974,Exercise protocol used in stage 1 and stage 2 after adjustment for warm-up heart rate,,9887,Too few unique ages
975,Recovery 1 diastolic blood pressure (mm Hg),,8688,Too few unique ages
976,Recovery 1 heart rate (per minute),,8711,Too few unique ages
977,Recovery 1 systolic blood pressure (mm Hg),,8688,Too few unique ages
978,Amount of time spent in Recovery 1 (minutes),,9584,Too few unique ages
979,Recovery 2 diastolic blood pressure (mm Hg),,8914,Too few unique ages
980,Recovery 2 heart rate (per minute),,8926,Too few unique ages
981,Recovery 2 systolic blood pressure (mm Hg),,8914,Too few unique ages
982,Amount of time spent in Recovery 2 (minutes),,9508,Too few unique ages
983,Recovery 3 diastolic blood pressure (mm Hg),,6198,Too few unique ages
984,Recovery 3 heart rate (per minute),,6211,Too few unique ages
985,Recovery 3 systolic blood pressure (mm Hg),,6198,Too few unique ages
986,Amount of time spent in Recovery 3 (minutes),,6596,Too few unique ages
987,Stage 1 diastolic blood pressure (mm Hg),,8013,Too few unique ages
988,Stage 1 grade (% incline),,9623,Too few unique ages
989,Stage 1 heart rate (per minute),,9166,Too few unique ages
990,Stage 1 speed (miles per hour),,9623,Too few unique ages
991,Stage 1 systolic blood pressure (mm Hg),,8013,Too few unique ages
992,Amount of time spent in Stage 1 (minutes),,9620,Too few unique ages
993,Stage 2 diastolic blood pressure (mm Hg),,7447,Too few unique ages
994,Stage 2 grade (% incline),,9040,Too few unique ages
995,Stage 2 heart rate (per minute),,8426,Too few unique ages
996,Stage 2 speed (miles per hour),,9040,Too few unique ages
997,Stage 2 systolic blood pressure (mm Hg),,7447,Too few unique ages
998,Amount of time spent in Stage 2 (minutes),,9023,Too few unique ages
999,Predicted maximal oxygen uptake (ml/kg/min),,9887,Too few unique ages
1000,Warm-up diastolic blood pressure (mm Hg),,8524,Too few unique ages
1001,Warm-up heart rate (per minute),,8558,Too few unique ages
1002,Warm-up systolic blood pressure (mm Hg),,8524,Too few unique ages
1003,Amount of time spent in warm-up (minutes),,9783,Too few unique ages
1004,Reason for Priority 2 Stop: Heart rate exceeds predetermined limit during first 2 minutes of stage 2,,1299,Too few unique ages
1005,Reason for Priority 2 Stop: Heart rate exceeds predetermined limit during stage 1,,1299,Too few unique ages
1006,Reason for Priority 2 Stop: Exercise blood pressure exceeds 260 mmHg systolic and/or 115 mmHg diastolic,,1299,Too few unique ages
1007,Reason for Priority 2 Stop: Significant drop (> 20 mm Hg) in systolic blood pressure during exercise,,1299,Too few unique ages
1008,"Reason for Priority 2 Stop: Sudden, noticeable variability in heart rate (sudden change of more than 30 beats/minute during a stage)",,1299,Too few unique ages
1009,Reason for Priority 2 Stop: Participant requests to stop test or reports severe fatigue,,1299,Too few unique ages
1010,Reason for Priority 2 Stop: Equipment failure,,1299,Too few unique ages
1011,Reason for Priority 2 Stop: Participant is unable to stop gripping hand rails,,1299,Too few unique ages
1012,Reason for Priority 2 Stop: Participant reports a rating of perceived exertion more than 17,,1299,Too few unique ages
1013,Reason for Priority 2 Stop: Technician discretion (technician notices signs of severe exertion),,1299,Too few unique ages
1014,Reason for Priority 2 Stop: Other specified reasons,,1299,Too few unique ages
1015,Physical activity readiness (PAR) code,,9888,Too few unique ages
1016,Stage 1 rating of perceived exertion (RPE),,9194,Too few unique ages
1017,Stage 2 rating of perceived exertion (RPE),,8423,Too few unique ages
1018,Warm-up rating of perceived exertion (RPE),,9629,Too few unique ages
1019,CD4 counts (cells/mm3),,157,Too few unique ages
1020,CD8 counts (cells/mm3),,157,Too few unique ages
1021,LBXTC2_y,,2362,Not enough data
1022,4Yr AM(3-11) & fasting (12+) weights,,8379,Not enough data
1023,Anisocytosis (variation of cell size),,8524,Not enough data
1024,Bands (percent of 100 cells),,8524,Not enough data
1025,Blasts (percent of 100 cells),,8524,Not enough data
1026,Hypochromia (stain intensity of cell),,8524,Not enough data
1027,Atyp lymphocytes (percent of 100 cells),,8524,Not enough data
1028,Nucleated red blood cells,,7523,Not enough data
1029,Lymphocytes (percent of 100 cells),,8524,Not enough data
1030,Metamyelocytes (percent of 100 cells),,8524,Not enough data
1031,Microcytosis (small cell prevalence),,8524,Not enough data
1032,Myelocytes (percent of 100 cells),,8524,Not enough data
1033,Macrocytosis (large cell prevalence),,8524,Not enough data
1034,Poikilocytosis (cell shape variation),,8524,Not enough data
1035,Polychromatophilia(bluish color of cell),,8524,Not enough data
1036,Promyelocytes (percent of 100 cells),,8524,Not enough data
1037,Spherocytosis,,8524,Not enough data
1038,Sickle cells,,8524,Not enough data
1039,Target cells,,8524,Not enough data
1040,Toxic granulation,,8524,Not enough data
1041,Vacuolated cells,,8524,Not enough data
1042,CMV IgM Optical Density,,6074,Too few unique ages
1043,Relative Florescent Value,,255,Too few unique ages
1044,Cytomegalovirus IgG Avidity,,8014,Too few unique ages
1045,Serum Cytomegalovirus (CMV) IgM,,14779,Too few unique ages
1046,CMV IgG Optical Density,,18389,Too few unique ages
1047,Epstein Barr Virus result,,8600,Too few unique ages
1048,Epstein Barr Virus index,,8597,Too few unique ages
1049,Plasma fibrinogen:  SI (g/L),,15097,Too few unique ages
1050,Plasma fibrinogen (mg/dL),,15097,Too few unique ages
1051,Serum follicle stimulating hormone: SI (IU/L),,0,Too few unique ages
1052,Follicle stimulating hormone (mIU/mL),,1779,Too few unique ages
1053,Serum follicle stimulating hormone: SI (IU/L),,0,Too few unique ages
1054,Gamma Glutamyl Transferase (GGT) Comment Code,,5902,Not enough data
1055,Helicobacter pylori (ISR),,7493,Not enough data
1056,"HIV antibody test result (HIV-1, 2)",,30408,Too few unique ages
1057,HIV-1 antibody,,34,Too few unique ages
1058,HIV-2 antibody,,34,Too few unique ages
1059,HIV Confirmatory Test,,4,Too few unique ages
1060,Serum luteinizing hormone: SI (IU/L),,4908,Too few unique ages
1061,Luteinizing hormone (mIU/mL),,1777,Too few unique ages
1062,Serum varicella antibody,,0,Too few unique ages
1063,Serum varicella antibody,,0,Too few unique ages
1064,Insulin Comment Code,,5746,Not enough data
1065,Position for home examination,,484,Not enough data
1066,"Bronchodilator 2nd Test Spirometry, Number of Acceptable Curves Performed (ATS Criteria)",,3784,Not enough data
1067,{Do you/Does SP} now have a painful ear infection?,,5578,Too few unique ages
1068,Was the eye surgery in the last three months?,,1843,Not enough data
1069,Has a doctor or other health professional ever told {you/SP}that {you/he/she} had . . .,,0,Too few unique ages
1070,Has a doctor or other health professional ever told {you/SP}that {you/he/she} had . . .,,0,Too few unique ages
1071,Has a doctor or other health professional ever told {you/SP}that {you/he/she} had . . .,,0,Too few unique ages
1072,Has a doctor or other health professional ever told {you/SP}that {you/he/she} had . . .,,0,Too few unique ages
1073,Has a doctor or other health professional ever told {you/SP}that {you/he/she} had . . .,,0,Too few unique ages
1074,Did this stroke happen in the last three months?,,316,Too few unique ages
1075,Spirometry Second Test Comment (Post-Bronchodilator Spirometry),,582,Not enough data
1076,"Bronchodilator 2nd Test Spirometry, Extrapolated Volume (mL)",,1564,Not enough data
1077,"Bronchodilator 2nd Test Spirometry, Forced Expiratory Flow Rate 25-75%, (mL/s)",,1564,Not enough data
1078,"Bronchodilator 2nd Test Spirometry, Forced Expiratory Time (seconds)",,1564,Not enough data
1079,"Bronchodilator 2nd Test Spirometry, Forced Expiratory Volume in the first 1.0 second (mL)",,1564,Not enough data
1080,"Bronchodilator 2nd Test Spirometry, Forced Expiratory Volume in the first 3.0 seconds (mL)",,1564,Not enough data
1081,"Bronchodilator 2nd Test Spirometry, Forced Expiratory Volume in the first 0.5 seconds (mL)",,1564,Not enough data
1082,"Bronchodilator 2nd Test Spirometry, Forced Expiratory Volume in the first 6.0 seconds (mL)",,1564,Not enough data
1083,"Bronchodilator 2nd Test Spirometry, Forced Expiratory Volume in the first 0.75 seconds (mL)",,1564,Not enough data
1084,"Bronchodilator 2nd Test Spirometry, Forced Vital Capacity (mL)",,1564,Not enough data
1085,"Bronchodilator 2nd Test Spirometry, Peak Expiratory Flow Rate (mL/s)",,1564,Not enough data
1086,"Bronchodilator 2nd Test Spirometry, Effort Quality Attribute",,1562,Not enough data
1087,"Bronchodilator 2nd Test Spirometry, Forced Expiratory Volume in the first 1.0 second Quality Attribute",,1564,Not enough data
1088,"Bronchodilator 2nd Test Spirometry, Forced Vital Capacity Quality Attribute.",,1564,Not enough data
1089,Spirometry Second Test Status (Post-Bronchodilator Spirometry),,2769,Not enough data
1090,Spirometry First Test Comment (Baseline Spirometry),,2034,Not enough data
1091,Thyroid stimulating hormone (IU/L),,4392,Not enough data
